artist_id,artist_name,artist_genres,artist_followers,artist_popularity
1nXCE22m3lHUzhDgqLuKyx,Henker,"['french death metal', 'technical brutal death metal']",2964,11
0qu422H5MOoQxGjd4IzHbS,Yves Tumor,"['art pop', 'escape room', 'experimental r&b']",197592,61
01TQ6CLvPSOYGUqRQ3nWgZ,Geowulf,['modern dream pop'],34666,45
3XBxSfCwYIMBzWmJL7ZJ4U,Jason Walker,"['neo mellow', 'pop rock', 'viral pop']",101012,55
73ZPfpfg1LBVvDEArK4l5B,Des'ree,['europop'],194356,59
1ifC4znYCvmMSJ0rght5JS,Haux,"['indie folk', 'vapor soul']",141354,60
0rvjqX7ttXeg3mTy8Xscbt,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",3967653,75
0hEurMDQu99nJRq8pTxO14,John Mayer,"['neo mellow', 'pop rock', 'singer-songwriter']",5336557,81
5nXldeedEas60jZnMi40p4,Cynic,"['death metal', 'djent', 'florida death metal', 'jazz metal', 'miami metal', 'progressive metal', 'technical death metal']",89657,46
2kAP2prnGAq7s3DwRT6s16,reggie,"['indie hip hop', 'indie r&b']",21345,48
55bGuHb50r5c0PeqqMeNBV,Jimmy Page,"['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock']",422474,45
53jXEVVJtpaWVQ3ffvhDtl,Betty Everett,"['brill building pop', 'chicago soul', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",21556,45
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",23536965,89
1AeC9AuzqGc3IXMC2T5xny,Zakk Wylde,['hard rock'],438550,57
2SVw939fwuqSobLjF8u78b,Gogol Bordello,['gypsy punk'],289255,48
4VJHUEvAc2PEmuThahAQbq,Seven Day Sleep,['turkish metal'],4885,31
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house']",1981587,76
3f626JSVauIhTQgatsFcs4,Paul Williams,[],13331,52
4FSD5qtm70EBsOiLMN2eEe,The Tams,"['beach music', 'motown', 'northern soul']",12638,41
6HX8AbXUFaYRtlqKb4CCo0,Mac Davis,"['bubblegum pop', 'country rock', 'soft rock']",47369,42
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop', 'west coast rap']",296007,70
0EB6qOap6h8OJSEswOv8y5,Arjen Anthony Lucassen,['progressive metal'],13977,24
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",1806257,68
0NIIxcxNHmOoyBx03SfTCD,Tinashe,"['alternative r&b', 'dance pop', 'electropop', 'hip pop', 'metropopolis', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2215061,73
2ibVIK8sCQcnuplE2eDxRg,The Fantastics,[],256,15
4LT73i2bqTazQQkmODMaYf,Old Man's Child,"['autonomous black metal', 'black metal', 'death metal', 'melodic black metal', 'metal', 'norwegian black metal', 'norwegian metal', 'pagan black metal', 'symphonic black metal']",58621,33
6xdkfNRMtBzeu7t4wyum2X,Barry McGuire,"['bubblegum pop', 'folk rock']",15819,44
2hl0xAkS2AIRAu23TVMBG1,Kansas,"['album rock', 'art rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",1139760,68
1O9iHQjrVuiAYOJFCBeFSl,serpentwithfeet,"['alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'indie soul']",88350,53
3KEb1kbIZN5jumsjFEWgSW,Tal Bachman,['pop rock'],32666,56
1eiIIImNeUj3vpaocWqoOf,High On Fire,"['doom metal', 'post-doom metal', 'psychedelic doom', 'sludge metal', 'stoner metal', 'stoner rock']",138756,43
19pyT3VlqEXiozOlxsk1vt,40 Watt Sun,"['atmospheric doom', 'doom metal', 'uk doom metal']",11180,28
2Z8HHweJsQ0WDusmOsqozg,GOONIE,"['plugg', 'vapor trap']",10537,43
